# =====================================================================
# Mode A - seed structural families (LABELED).
# Each family = one shared mathematical core; members are from DIFFERENT fields.
# role: member = genuine instance | distractor = same field, different math.
# method_named: yes/no/? - does the paper name the method (keep some 'no' rows;
#   they test real abstraction vs name-recognition, the "recognition cheat").
# columns: id,url,family,field,role,method_named,license,note
#
# v1 SEED (auto-curated from arXiv, each verified against its abstract).
# Known gaps to extend (see datasets/README + the chat hand-off):
#   - method_named=no exemplars per family (the anti-cheat ground truth) - needs
#     domain knowledge (e.g. a pharmacokinetics paper that is secretly a Kalman
#     filter but never says so).
#     Seeded for pharmacology/PK (traced from the vancomycin Bayesian-dosing
#     lineage; see the anti-cheat block at the bottom); other families still need them.
#   - rows marked method_named='?' need a quick membership vetting pass.
#   - more distractors welcome (target 1-2 per member).
# =====================================================================
id,url,family,field,role,method_named,license,note
# --- recursive Bayesian estimation / Kalman filter ---
kalman-control-001,https://arxiv.org/abs/2012.06069,recursive_bayes_kalman,control_power_systems,member,yes,arXiv,EKF/UKF dynamic state estimation
kalman-tracking-001,https://arxiv.org/abs/2003.05778,recursive_bayes_kalman,target_tracking,member,yes,arXiv,multi-target particle filter (recursive Bayes)
kalman-finance-001,https://arxiv.org/abs/2112.04576,recursive_bayes_kalman,finance,member,yes,arXiv,switching filter for Heston stochastic volatility
kalman-neuro-001,https://arxiv.org/abs/2111.10530,recursive_bayes_kalman,neuroscience,member,yes,arXiv,Kalman filter as gradient descent on free energy
kalman-pharma-001,https://arxiv.org/abs/1910.01022,recursive_bayes_kalman,pharmacology,member,yes,arXiv,cubature KF for drug/blood-pressure response
kalman-finance-dist-001,https://arxiv.org/abs/2202.03156,recursive_bayes_kalman,finance,distractor,,arXiv,trap: same field (finance) different math (ML price prediction)
# --- eigenvector centrality / PageRank / power iteration ---
eigen-web-001,https://arxiv.org/abs/1408.0719,eigenvector_centrality,web_ir,member,yes,arXiv,personalized PageRank
eigen-sciento-001,https://arxiv.org/abs/2105.05150,eigenvector_centrality,scientometrics,member,yes,arXiv,Eigenfactor journal ranking
eigen-ecology-001,https://arxiv.org/abs/1110.5385,eigenvector_centrality,ecology,member,?,arXiv,environ (eigenvector-based) centrality in ecological networks
eigen-sciento-dist-001,https://arxiv.org/abs/1303.5870,eigenvector_centrality,scientometrics,distractor,,arXiv,trap: same field different math (count-based Scholar metrics)
# --- Gaussian process / kriging / kernel ridge ---
gp-ml-001,https://arxiv.org/abs/1406.4905,gaussian_process,machine_learning,member,yes,arXiv,variational GP state-space models
gp-geo-001,https://arxiv.org/abs/1205.5467,gaussian_process,geostatistics,member,yes,arXiv,Gaussian (Markov) random fields / kriging family
gp-power-001,https://arxiv.org/abs/1909.09266,gaussian_process,power_systems,member,yes,arXiv,GP surrogate for stochastic economic dispatch
# --- diffusion / heat equation / Perona-Malik ---
diff-physics-001,https://arxiv.org/abs/1007.3109,diffusion_heat,physics,member,yes,arXiv,reaction-diffusion pattern formation (lattice Boltzmann)
diff-finance-001,https://arxiv.org/abs/1510.04370,diffusion_heat,finance,member,?,arXiv,Black-Scholes diffusion PDE option pricing
diff-fluids-001,https://arxiv.org/abs/1605.04593,diffusion_heat,fluid_dynamics,member,yes,arXiv,Perona-Malik anisotropic diffusion reused as LES closure
# --- hidden Markov models ---
hmm-genomics-001,https://arxiv.org/abs/1508.05367,hmm,genomics,member,yes,arXiv,HMM gene sequence classification
hmm-speech-001,https://arxiv.org/abs/1701.08156,hmm,speech,distractor,yes,arXiv,AUDIT survey/no method (empty fingerprint) | was-member; HMM phoneme recognition
# --- EM / latent-variable mixtures ---
em-ml-001,https://arxiv.org/abs/1810.00803,em_latent_mixture,machine_learning,member,yes,arXiv,variational EM for Gaussian mixtures
em-astro-001,https://arxiv.org/abs/2408.10371,em_latent_mixture,astronomy,member,yes,arXiv,Gaussian mixture model for galaxy cluster profiles
# --- MCMC / Metropolis-Hastings ---
mcmc-statphys-001,https://arxiv.org/abs/2007.08593,mcmc_metropolis,statistical_physics,member,yes,arXiv,Metropolis Monte Carlo for spin-1 Ising
mcmc-phylo-001,https://arxiv.org/abs/2109.07629,mcmc_metropolis,phylogenetics,distractor,yes,arXiv,AUDIT ESS diagnostics not Metropolis kernel | was-member; MCMC for Bayesian phylogenetic inference
mcmc-cosmo-001,https://arxiv.org/abs/1103.3269,mcmc_metropolis,cosmology,member,yes,arXiv,MCMC cosmological/galaxy parameter estimation
# --- preferential attachment / power-law generation ---
pa-networks-001,https://arxiv.org/abs/1202.1498,preferential_attachment,networks,member,yes,arXiv,preferential attachment and scale-free degree distribution
pa-linguistics-001,https://arxiv.org/abs/1407.4610,preferential_attachment,linguistics,member,?,arXiv,Zipf law of word frequencies (power-law); verify structural fit
pa-economics-001,https://arxiv.org/abs/physics/0504137,preferential_attachment,economics,member,?,arXiv,stochastic wealth distribution power law (rich-get-richer); verify fit
# --- replicator dynamics / Lotka-Volterra (mathematically equivalent) ---
replv-evolution-001,https://arxiv.org/abs/0911.1720,replicator_lotka_volterra,evolution,distractor,yes,arXiv,AUDIT empty fingerprint (review/no method) | was-member; replicator dynamics in evolutionary game theory
replv-ecology-001,https://arxiv.org/abs/1210.7662,replicator_lotka_volterra,ecology,member,yes,arXiv,competitive Lotka-Volterra dynamics
replv-economics-001,https://arxiv.org/abs/2203.14669,replicator_lotka_volterra,economics,member,?,arXiv,evolutionary game dynamics in an economics experiment
# --- distractors (same field as a member, different math) ---
gp-ml-dist-001,https://arxiv.org/abs/2104.00035,gaussian_process,machine_learning,distractor,,arXiv,trap: CNN training (not a GP)
diff-physics-dist-001,https://arxiv.org/abs/2101.04596,diffusion_heat,physics,distractor,,arXiv,trap: DFT electronic structure (not a diffusion PDE)
hmm-genomics-dist-001,https://arxiv.org/abs/2309.11087,hmm,genomics,distractor,,arXiv,trap: transformer DNA alignment (not an HMM)
em-astro-dist-001,https://arxiv.org/abs/2007.14720,em_latent_mixture,astronomy,distractor,,arXiv,trap: N-body dark-matter simulation (not EM/mixture)
# --- anti-cheat exemplars: math IS a family's method, but the paper never names it ---
# (traced from the vancomycin Bayesian-dosing literature: Jelliffe/Schumitzky/Bayard/Neely lineage)
# VERIFIED 2026-06 by grepping each built md for its family's canonical name. Finding:
# pure method_named=no is RARE - most renamed-method papers still cite the canonical
# name in related work (only em-pharma-noname-002 is pristine). Mitigation: the probe
# distills the METHOD CORE with name-dropping forbidden, so related-work mentions should
# not leak into the skeleton; confirm at skeleton level (probe_spec threat: recognition cheat).
# The cleanest pristine cases are domain-siloed clinical/applied papers (often paywalled).
em-pharma-noname-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC7823953/,em_latent_mixture,pharmacokinetics,member,yes,CC-BY,NPAG sparse-support-point mixing-distribution estimation; names EM/mixture but never SVM/kernel/Kalman; anti-cheat value = its SVM/support-point structure (VET: EM vs SVM)
em-pharma-noname-002,https://arxiv.org/abs/1303.6700,em_latent_mixture,pharmacokinetics,member,no,arXiv,NPAG/NPB population PK estimation; VERIFIED CLEAN: no EM/GMM/Kalman/SVM mention (the one pristine method_named=no)
kalman-pharma-noname-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC8520754/,recursive_bayes_kalman,pharmacology,distractor,partial,CC-BY,AUDIT static MAP not recursive filtering | was-member; MAP-Bayesian individual PK estimation (mapbayr); primary framing Bayesian/MAP; mentions Kalman 2x
gp-geo-noname-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC10413010/,gaussian_process,geostatistics,member,partial,CC-BY-NC-ND,ordinary kriging/cokriging; never says Gaussian process; 'kernel' appears 2x (kriging=GP)
eigen-chem-noname-001,https://arxiv.org/abs/2409.01689,eigenvector_centrality,chemistry,distractor,partial,arXiv,AUDIT full Huckel eigenspectrum not centrality | was-member; Huckel MO = eigenvectors of molecular-graph adjacency matrix; mentions eigenvector centrality 1x (related work)
hmm-econ-noname-001,https://arxiv.org/abs/2002.03598,hmm,econometrics,member,yes,arXiv,Markov/regime-switching (=HMM); names hidden Markov 3x; NOT anti-cheat but a valid econometrics cross-domain member
pa-cities-noname-001,https://arxiv.org/abs/0808.1828,preferential_attachment,cities_economics,member,partial,arXiv,Gibrat proportional-growth -> power law (growth variant); re-distilled from full text (orig skeleton was abstract-only glitch); restored member
replv-mwu-noname-001,https://arxiv.org/abs/2203.07577,replicator_lotka_volterra,online_learning,member,partial,arXiv,multiplicative/exponential weights (experts); mentions replicator 2x + lotka 1x (MWU=replicator)
# ===================================================================
# 15-FAMILY EXPANSION (2026-06): 6 new families incl. the 2 distant domains
# (political methodology = SVD/IRT; digital-humanities stylometry = naive Bayes).
# Curated + verified against abstracts by parallel agents.
# ===================================================================
pca-genetics-001,https://arxiv.org/abs/2302.04596,pca_svd_lowrank,genetics,member,yes,arXiv,PCA of a genotype matrix for population structure (eigen-decomposition of covariance)
pca-recsys-001,https://arxiv.org/abs/2012.03433,pca_svd_lowrank,recommender_systems,member,yes,arXiv,Bayesian matrix factorization of a user-item ratings matrix (low-rank / SVD-like)
pca-psychometrics-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC3290828/,pca_svd_lowrank,psychometrics,member,yes,CC-BY-NC,factor analysis of a correlation matrix (low-rank decomposition)
pca-polmeth-001,https://arxiv.org/abs/2512.11610,pca_svd_lowrank,political_methodology,member,partial,arXiv,ideal-point/roll-call scaling of legislators (LSIRM); low-rank factorization of a vote matrix; never says SVD/PCA
pca-recsys-distractor-001,https://arxiv.org/abs/2410.16838,pca_svd_lowrank,recommender_systems,distractor,no,arXiv,trap: neural collaborative filtering (deep net); not low-rank factorization
clf-dh-001,https://arxiv.org/abs/1208.3001,linear_text_classifier,digital_humanities,member,partial,arXiv,authorship/stylometry via word-frequency distribution profiles; no canonical classifier named (anti-cheat)
clf-nlp-001,https://arxiv.org/abs/cs/0205070,linear_text_classifier,nlp,member,yes,arXiv,sentiment classification from unigram frequencies; names naive Bayes/maxent/SVM
clf-gen-001,https://arxiv.org/abs/1910.05421,linear_text_classifier,genomics,member,partial,arXiv,virus genome classification from k-mer frequency vectors; multinomial-Bayes/linear classifiers
clf-clin-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC9592058/,linear_text_classifier,clinical_text,member,yes,CC-BY,medical report classification from term frequencies; multinomial naive Bayes
clf-nlp-distractor-001,https://arxiv.org/abs/2406.06578,linear_text_classifier,nlp,distractor,yes,arXiv,trap: SMS spam via BERT transformer (not a linear frequency classifier)
irt-psych-001,https://arxiv.org/abs/2406.13989,irt_logistic_bradleyterry,psychometrics,member,yes,arXiv,Rasch IRT: item response as logistic of latent trait minus difficulty (MLE)
irt-sports-001,https://arxiv.org/abs/2001.04226,irt_logistic_bradleyterry,sports_analytics,member,yes,arXiv,Bradley-Terry paired-comparison rating; win prob logistic of strength difference
irt-ecology-001,https://arxiv.org/abs/2308.02348,irt_logistic_bradleyterry,ecology,distractor,partial,arXiv,AUDIT occupancy GLM not Bradley-Terry | was-member; occupancy model: latent presence via logit link (logistic latent variable)
irt-edu-001,https://arxiv.org/abs/2506.20119,irt_logistic_bradleyterry,education,member,yes,arXiv,IRT ability estimation; response prob logistic of ability minus difficulty
irt-sports-distractor-001,https://arxiv.org/abs/1503.01331,eigenvector_centrality,sports_analytics,member,no,arXiv,"PageRank team ranking = dominant eigenvector of the match graph (eigenvector centrality); reclassified from IRT distractor to its true core; remains a topical hard negative for IRT"
fft-sig-001,https://arxiv.org/abs/1707.04878,fourier_spectral,signal_processing,member,yes,arXiv,Bayesian spectral-density estimation of a stationary series (Whittle likelihood)
fft-astro-001,https://arxiv.org/abs/1301.4826,fourier_spectral,astronomy,member,yes,arXiv,Lomb-Scargle periodogram for unevenly sampled series
fft-neuro-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC8215164/,fourier_spectral,neuroscience,distractor,yes,CC-BY,AUDIT spectral-features+phase-sync not PSD estimation | was-member; EEG spectral power via 1024-point Fourier transform
fft-econ-001,https://arxiv.org/abs/1001.4762,fourier_spectral,economics,member,yes,arXiv,frequency-domain spectral analysis of business-cycle patterns
fft-astro-distractor-001,https://arxiv.org/abs/2001.07975,gaussian_process,astronomy,member,no,arXiv,"exoplanet transit modeled as a Gaussian process (kernel covariance, celerite SHO kernel); reclassified from Fourier distractor to its true core; remains a topical hard negative for Fourier"
sparse-mri-001,https://arxiv.org/abs/2007.02937,sparse_l1_lasso,imaging_mri,member,yes,arXiv,MRI reconstruction via compressed sensing / sparse constraint on undersampled k-space
sparse-genomics-001,https://pmc.ncbi.nlm.nih.gov/articles/PMC5435977/,sparse_l1_lasso,genomics,member,yes,CC-BY,IPF-LASSO: L1-penalized regression selecting few features (multi-omics)
sparse-signal-001,https://arxiv.org/abs/0904.4774,sparse_l1_lasso,signal_processing,member,yes,arXiv,dictionary identification via l1-minimization for sparse representations
